SentID,Original_Sentence,Reference_Output,Output,Roman_Script
HL0012_EN_49,"The unused and undigested portion of raw starchy foods does not become injurious to the system, as it does not readily ferment.","तथापि कच्च्या पिष्टसत्वमय पदार्थांबाबतीत, लाळ व लहान आतडयातील पाचक रस मिळून, शरीराला आवश्यक असलेल्या शर्करेच्या परिमाणाएवढेच त्यांचे रुपांतर करण्यावर नियंत्रण ठेवतात.","Tathāpi kaccyā piṣṭasatvamaya padārthāmbābatīta, lāḷa va lahāna ātaḍayātīla pācaka rasa miḷūna, śarīrālā āvaśyaka asalēlyā śarkarēcyā parimāṇā'ēvaḍhēca tyān̄cē rupāntara karaṇyāvara niyantraṇa ṭhēvatāta.","Tathāpi kaccyā piṣṭasatvamaya padārthāmbābatīta, lāḷa va lahāna ātaḍayātīla pācaka rasa miḷūna, śarīrālā āvaśyaka asalēlyā śarkarēcyā parimāṇā'ēvaḍhēca tyān̄cē rupāntara karaṇyāvara niyantraṇa ṭhēvatāta."
HL0012_EN_50,The diabetic should not be afraid to eat fresh fruits and vegetables which contain sugar and starch.,कच्च्या पिष्टमय पदार्थांचा न वापरला गेलेला आणि न पचविला गेलेला भाग प्रणालीसाठी हानीकारक ठरत नाही कारण त्याचे सहजतेने किण्वन होत नाही.,Kaccyā piṣṭamaya padārthān̄cā na vāparalā gēlēlā āṇi na pacavilā gēlēlā bhāga praṇālīsāṭhī hānīkāraka ṭharata nāhī kāraṇa tyācē sahajatēnē kiṇvana hōta nāhī.,Kaccyā piṣṭamaya padārthān̄cā na vāparalā gēlēlā āṇi na pacavilā gēlēlā bhāga praṇālīsāṭhī hānīkāraka ṭharata nāhī kāraṇa tyācē sahajatēnē kiṇvana hōta nāhī.
HL0012_EN_51,Fresh fruits contain sugar (fructose) which does not need insulin for its metabolism and is well tolerated by diabetics.,मधुमेहींनी शर्करा व पिष्टसत्व असलेली ताजी फळे खाण्यास घाबरु नये.,Madhumēhīnnī śarkarā va piṣṭasatva asalēlī tājī phaḷē khāṇyāsa ghābaru nayē.,Madhumēhīnnī śarkarā va piṣṭasatva asalēlī tājī phaḷē khāṇyāsa ghābaru nayē.
HL0012_EN_52,"Fats and oils should be taken sparingly, for they are apt to lower the tolerance for proteins and starches.","ताज्या फळांमध्ये शर्करा (फ्रुक्टोज) असते, जिला चयापचयासाठी इन्शुलिनची गरज नसते व मधुमेही व्यक्ती ती सहजतेने सहन करु शकतात.","Tājyā phaḷāmmadhyē śarkarā (phrukṭōja) asatē, jilā cayāpacayāsāṭhī inśulinacī garaja nasatē va madhumēhī vyaktī tī sahajatēnē sahana karu śakatāta.","Tājyā phaḷāmmadhyē śarkarā (phrukṭōja) asatē, jilā cayāpacayāsāṭhī inśulinacī garaja nasatē va madhumēhī vyaktī tī sahajatēnē sahana karu śakatāta."
HL0012_EN_53,Emphasis should be on raw foods as they stimulate and increase insulin production.,"मेदमय पदार्थ आणि तेले ही हात राखून घेतली गेली पाहिजेत, कारण ती, प्रथिने व पिष्टसत्वे सहन करु शकण्याची क्षमता कमी करतात.","Mēdamaya padārtha āṇi tēlē hī hāta rākhūna ghētalī gēlī pāhijēta, kāraṇa tī, prathinē va piṣṭasatvē sahana karu śakaṇyācī kṣamatā kamī karatāta.","Mēdamaya padārtha āṇi tēlē hī hāta rākhūna ghētalī gēlī pāhijēta, kāraṇa tī, prathinē va piṣṭasatvē sahana karu śakaṇyācī kṣamatā kamī karatāta."
HL0012_EN_54,"For protein, home-made cottage cheese, various forms of soured milk and nuts are best.",कच्च्या अन्नपदार्थांवर भर दिला गेला पाहिजे कारण ते इन्शुलिनच्या उत्पादनाला उत्तेजन देतात व वाढवितात.,Kaccyā annapadārthānvara bhara dilā gēlā pāhijē kāraṇa tē inśulinacyā utpādanālā uttējana dētāta va vāḍhavitāta.,Kaccyā annapadārthānvara bhara dilā gēlā pāhijē kāraṇa tē inśulinacyā utpādanālā uttējana dētāta va vāḍhavitāta.
HL0012_EN_55,The patients should avoid overeating and take four or five small meals a day rather than three large ones.,"प्रथिनांसाठी, घरगुती चीज (पनीर), फाटलेल्या / नासलेल्या दुधाचे विविध प्रकार आणि कठीण कवचांची फळे सर्वोत्तम आहेत.","Prathinānsāṭhī, gharagutī cīja (panīra), phāṭalēlyā/ nāsalēlyā dudhācē vividha prakāra āṇi kaṭhīṇa kavacān̄cī phaḷē sarvōttama āhēta.","Prathinānsāṭhī, gharagutī cīja (panīra), phāṭalēlyā/ nāsalēlyā dudhācē vividha prakāra āṇi kaṭhīṇa kavacān̄cī phaḷē sarvōttama āhēta."
HL0012_EN_56,The diabetic patient should take the juice of three or four bitter gourds daily in between meals for positive results.,रुग्णांनी अति खाणे टाळावे आणि दररोज तीन मोठया जेवणांऐवजी चार किंवा पाच छोटी जेवणे घ्यावीत.,Rugṇānnī ati khāṇē ṭāḷāvē āṇi dararōja tīna mōṭhayā jēvaṇāṁaivajī cāra kinvā pāca chōṭī jēvaṇē ghyāvīta.,Rugṇānnī ati khāṇē ṭāḷāvē āṇi dararōja tīna mōṭhayā jēvaṇāṁaivajī cāra kinvā pāca chōṭī jēvaṇē ghyāvīta.
HL0012_EN_57,"The patients should avoid tea, coffee and cocoa because of their adverse influence on the digestive tract.","मधुमेहाच्या रुग्णाने, सकारात्मक परिणामांसाठी, दररोज, दोन जेवणांच्या दरम्यान तीन ते चार कार्ल्यांचा रस घ्यावा.","Madhumēhācyā rugṇānē, sakārātmaka pariṇāmānsāṭhī, dararōja, dōna jēvaṇān̄cyā daramyāna tīna tē cāra kārlyān̄cā rasa ghyāvā.","Madhumēhācyā rugṇānē, sakārātmaka pariṇāmānsāṭhī, dararōja, dōna jēvaṇān̄cyā daramyāna tīna tē cāra kārlyān̄cā rasa ghyāvā."
HL0012_EN_58,"Other foods which should be avoided are white bread, white flour products, sugar, tinned fruits, sweets, chocolates, pastries, pies, puddings, refined cereals and alcoholic drinks.","पचन मार्गावर होणा~या विपरीत परिणामांमुळे, रुग्णांनी चहा, कॉफी आणि कोको (घेणे) टाळावे.","Pacana mārgāvara hōṇā~yā viparīta pariṇāmāmmuḷē, rugṇānnī cahā, kŏphī āṇi kōkō (ghēṇē) ṭāḷāvē.","Pacana mārgāvara hōṇā~yā viparīta pariṇāmāmmuḷē, rugṇānnī cahā, kŏphī āṇi kōkō (ghēṇē) ṭāḷāvē."
HL0012_EN_59,The most important nutrient in the treatment of diabetes is manganese which is vital in the production of natural insulin.,"टाळण्यासारखे इतर अन्नपदार्थ म्हणजे, पांढरा ब्रेड, पांढ~या पिठांचे पदार्थ, साखर, डबाबंद फळे, मिठाया, चॉकोलेटे, पॅस्ट्री, पाईज, पुडिंग अतिशुध्द केलेली तृणधान्ये आणि मद्यार्कयुक्त पेये हे होत.","Ṭāḷaṇyāsārakhē itara annapadārtha mhaṇajē, pāṇḍharā brēḍa, pāṇḍha~yā piṭhān̄cē padārtha, sākhara, ḍabābanda phaḷē, miṭhāyā, cŏkōlēṭē, pĕsṭrī, pā'īja, puḍiṅga atiśudhda kēlēlī tr̥ṇadhān'yē āṇi madyārkayukta pēyē hē hōta.","Ṭāḷaṇyāsārakhē itara annapadārtha mhaṇajē, pāṇḍharā brēḍa, pāṇḍha~yā piṭhān̄cē padārtha, sākhara, ḍabābanda phaḷē, miṭhāyā, cŏkōlēṭē, pĕsṭrī, pā'īja, puḍiṅga atiśudhda kēlēlī tr̥ṇadhān'yē āṇi madyārkayukta pēyē hē hōta."
HL0012_EN_60,"It is found in citrus fruits, in the outer covering of nuts, grains and in the green leaves of edible plants.","मँगनीज हे, मधुमेहावरील उपचारांमधील सर्वात महत्वाचे पोषक द्रव्य आहे, जे नैसर्गिक इन्शुलिनचे उत्पादन होण्यामध्ये खूप महत्वाचे आहे.","Mam̐ganīja hē, madhumēhāvarīla upacārāmmadhīla sarvāta mahatvācē pōṣaka dravya āhē, jē naisargika inśulinacē utpādana hōṇyāmadhyē khūpa mahatvācē āhē.","Mam̐ganīja hē, madhumēhāvarīla upacārāmmadhīla sarvāta mahatvācē pōṣaka dravya āhē, jē naisargika inśulinacē utpādana hōṇyāmadhyē khūpa mahatvācē āhē."
HL0012_EN_61,"Other nutrients of special value are zinc, B-complex vitamins and poly-unsaturated fatty acids.","ते, लिंबाच्या जातीच्या फळांमध्ये, कठीण कवचांच्या फळांच्या बाहेरील आवरणात, धान्ये आणि पालेभाज्यांच्या हिरव्या पानांमध्ये आढळते.","Tē, limbācyā jātīcyā phaḷāmmadhyē, kaṭhīṇa kavacān̄cyā phaḷān̄cyā bāhērīla āvaraṇāta, dhān'yē āṇi pālēbhājyān̄cyā hiravyā pānāmmadhyē āḍhaḷatē.","Tē, limbācyā jātīcyā phaḷāmmadhyē, kaṭhīṇa kavacān̄cyā phaḷān̄cyā bāhērīla āvaraṇāta, dhān'yē āṇi pālēbhājyān̄cyā hiravyā pānāmmadhyē āḍhaḷatē."
HL0012_EN_62,Diarrhoea refers to the frequent passage of loose or watery unformed stools.,"विशेष मूल्य असलेली इतर पोषक द्रव्ये म्हणजे, जस्त, बी-काँप्लेक्स जीवनसत्वे आणि बहु-असंपृक्त- मेदाम्ले ही होत.","Viśēṣa mūlya asalēlī itara pōṣaka dravyē mhaṇajē, jasta, bī-kām̐plēksa jīvanasatvē āṇi bahu-asampr̥kta- mēdāmlē hī hōta.","Viśēṣa mūlya asalēlī itara pōṣaka dravyē mhaṇajē, jasta, bī-kām̐plēksa jīvanasatvē āṇi bahu-asampr̥kta- mēdāmlē hī hōta."
HL0012_EN_63,"The intestines normally get more than 10 litres of liquid per day which comes from the diet and from the secretions of the stomach, liver, pancreas and intestines.",अतिसार (जुलाब) म्हणजे अनियंत्रित किंवा पाण्यासारखे शौच वारंवार होणे.,Atisāra (julāba) mhaṇajē aniyantrita kinvā pāṇyāsārakhē śauca vāranvāra hōṇē.,Atisāra (julāba) mhaṇajē aniyantrita kinvā pāṇyāsārakhē śauca vāranvāra hōṇē.
HL0013_EN_42,It neutralises putrefactive toxins and kills unhealthy bacteria.,ते कुजविणा-या विषारी पदार्थांना निष्क्रीय करते व अनारोगी विषाणूंना मारते.,Tē kujaviṇā-yā viṣārī padārthānnā niṣkrīya karatē va anārōgī viṣāṇūnnā māratē.,Tē kujaviṇā-yā viṣārī padārthānnā niṣkrīya karatē va anārōgī viṣāṇūnnā māratē.
HL0013_EN_43,It also eliminates gas and helps digestion.,ते वायू नष्ट करते व पचनास मदत करते.,Tē vāyū naṣṭa karatē va pacanāsa madata karatē.,Tē vāyū naṣṭa karatē va pacanāsa madata karatē.
HL0013_EN_44,B vitamins are also beneficial in case of dyspepsia.,ब जिवनसत्त्व हे डिस्पेप्सियाच्या केसीतही उपयुक्त आहे.,Apacanācyā bābatītahī ba jīvanasattvē phāyadēśīra ṭharatāta,Apacanācyā bābatītahī ba jīvanasattvē phāyadēśīra ṭharatāta
HL0013_EN_45,B1 or thiamine is especially useful for the digestion of starches.,ब १ किंवा थियामीन हे मुख्यत्त्वे पिष्टमय पदार्थांच्या पचनासाठी उपयुक्त आहे.,B1 kinvā thāyāmina sṭārcacyā pacanāsāṭhī viśēṣataḥ upayukta āhē,B1 kinvā thāyāmina sṭārcacyā pacanāsāṭhī viśēṣataḥ upayukta āhē
HL0013_EN_46,But it should be ensured that the whole B complex group in some form is added to prevent imbalance which may be caused if only one B factor is given.,परंतु ह्याची खात्री पाहिजे की केवळ एक ब घटक दिल्यास त्यामुळे कारणीभूत ठरणारा असमतोल टाळण्यासाठी कोणत्याही स्वरूपातील संपूर्ण संयुक्त ब गटाची भर घातली जाईल.,Parantu hē suniścita kēlē pāhijē kī sampūrṇa bī kŏmplēksa gaṭa kōṇatyā nā kōṇatyā svarupāta jōḍalā gēlā āhē jē phakta ēka bī ghaṭaka dilyāsa asamatōla hō'ū śakatē,Parantu hē suniścita kēlē pāhijē kī sampūrṇa bī kŏmplēksa gaṭa kōṇatyā nā kōṇatyā svarupāta jōḍalā gēlā āhē jē phakta ēka bī ghaṭaka dilyāsa asamatōla hō'ū śakatē
HL0013_EN_47,Water or other liquids should be taken half an hour before and one hour after a meal.,पाणी किंवा इतर द्रव पदार्थ एखाद्या जेवणाच्या अर्धा तास आधी किंवा एक तास नंतर घ्यावेत.,Pāṇī kinvā itara dravapadārtha jēvaṇācyā ardhā tāsa ādhī āṇi ēka tāsānantara ghyāvēta,Pāṇī kinvā itara dravapadārtha jēvaṇācyā ardhā tāsa ādhī āṇi ēka tāsānantara ghyāvēta
HL0013_EN_48,The term 'Eczema' is derived from a Greek word meaning 'to boil'.,इसब ही संज्ञा उकळवणे ह्या अर्थाच्या एका ग्रीक शब्दावरून उत्पन्न झाली.,Ēkjhimā' hā śabda grīka śabdāpāsūna ālā āhē jyācā artha'ukaḷaṇē' asā hōtō,Ēkjhimā' hā śabda grīka śabdāpāsūna ālā āhē jyācā artha'ukaḷaṇē' asā hōtō
HL0013_EN_49,It refers to an inflammation of the skin which results in the formation of vesicles or pustules.,ह्याचा संदर्भ त्वचेच्या दाहाशी आहे ज्याचा परिणाम पुटिका किंवा पियुका निर्माण होणे हा होतो.,Hē tvacēcyā jaḷajaḷīcā sandarbha dētē jyāmuḷē puṭikā kinvā pusṭyulsa tayāra hōtāta,Hē tvacēcyā jaḷajaḷīcā sandarbha dētē jyāmuḷē puṭikā kinvā pusṭyulsa tayāra hōtāta
HL0013_EN_50,It is the most common and most troublesome of all skin diseases.,हा सर्व आजारांमध्ये सर्वाधिक सामान्य व सर्वांत त्रासदायक आहे.,Sarva tvacēcyā rōgāmpaikī hā sarvāta sāmān'ya āṇi sarvāta trāsadāyaka āhē,Sarva tvacēcyā rōgāmpaikī hā sarvāta sāmān'ya āṇi sarvāta trāsadāyaka āhē
HL0013_EN_51,"Eczema is essentially a constitutional disease, resulting from a toxic condition of the system.",ह्या यंत्रणेच्या विषारी परिस्थितीचा परिणाम असलेला एका इसब हा मुख्यत्त्वे एक प्रकृतीजन्य आजार आहे.,"Ēkjimā hā mūlata: Ēka sanvaidhānika rōga āhē, jō praṇālīcyā viṣārī sthitīmuḷē udbhavatō","Ēkjimā hā mūlata: Ēka sanvaidhānika rōga āhē, jō praṇālīcyā viṣārī sthitīmuḷē udbhavatō"
HL0013_EN_52,"The disease covers a wide variety of forms, the majority of them, being of a chronic variety.","ह्या आजारात अनेकाविध प्रकारांचा अंतर्भाव होतो, त्यातील बहुतांश दीर्घकालीन गटातील असतात.","Yā rōgāmadhyē vividha prakārān̄cā samāvēśa hōtō, tyāpaikī bahutēka ēka junāṭa prakāra āhēta","Yā rōgāmadhyē vividha prakārān̄cā samāvēśa hōtō, tyāpaikī bahutēka ēka junāṭa prakāra āhēta"
HL0013_EN_53,The skin is one of the excretory organs of the body through which large quantities of toxic matter are easily eliminated.,ज्यातून मोठया प्रमाणात विषारी पदार्थ सहजपणे बाहेर टाकले जातात ती  त्वचा ही शरीराच्या उत्सर्जी अवयवांपैकी एक आहे.,Tvacā hā śarīrācyā utsarjita avayavāmpaikī ēka āhē jyādvārē mōṭhyā pramāṇāta viṣārī padārtha sahajapaṇē kāḍhūna ṭākalē jātāta,Tvacā hā śarīrācyā utsarjita avayavāmpaikī ēka āhē jyādvārē mōṭhyā pramāṇāta viṣārī padārtha sahajapaṇē kāḍhūna ṭākalē jātāta
HL0013_EN_54,"Because of its large surface, it can effectively eliminate waste matter which other organs of elimination - namely the kidneys, intestines and lungs - do not have the capacity to handle.","त्याच्या विस्तृत पृष्ठभागामुळे, ती कार्यक्षमरित्या  टाकाऊ पदार्थ बाहेर टाकू शकते, जे नियंत्रित करण्याची क्षमता वृक्क, आतडी व फुफ्फुसे ह्यांसारख्या इतर उत्सर्जी अवयवांमध्ये नाही.","Tyācyā mōṭhyā pr̥ṣṭhabhāgāmuḷē, tē prabhāvīpaṇē ṭākā'ū padārtha kāḍhūna ṭākū śakatē jē nirmūlanācē itara avayava - mhaṇajē mūtrapiṇḍa, ātaḍē āṇi phuphphusē - hātāḷaṇyācī kṣamatā nāhī","Tyācyā mōṭhyā pr̥ṣṭhabhāgāmuḷē, tē prabhāvīpaṇē ṭākā'ū padārtha kāḍhūna ṭākū śakatē jē nirmūlanācē itara avayava - mhaṇajē mūtrapiṇḍa, ātaḍē āṇi phuphphusē - hātāḷaṇyācī kṣamatā nāhī"
HL0013_EN_55,"Eczema, in its acute form, is indicated by redness and swelling of the skin, the formation of minute vesicles and severe heat.","इसब त्याच्या गंभीर अवस्थेत असल्यास हा त्वचेचा लालसरपणा व सूज, सौम्य पुटिकांची निर्मिती व तीव्र उष्णता ह्यांनी सूचित केला जातो.","Ēkjimā, tyācyā tīvra svarūpāta, tvacēcī lālasarapaṇā āṇi sūja, miniṭa vēsikalsa āṇi tīvra uṣṇatā dvārē darśavilē jātē","Ēkjimā, tyācyā tīvra svarūpāta, tvacēcī lālasarapaṇā āṇi sūja, miniṭa vēsikalsa āṇi tīvra uṣṇatā dvārē darśavilē jātē"
HL0013_EN_56,"If the vesicles rupture, a raw, moist surface is formed.","जर पुटिका फुटल्या तर एक खडबडीत, दमट पृष्ठभाग निर्माण होतो.","Puṭikā phuṭalyāsa, ēka kaccā, ōlasara pr̥ṣṭhabhāga tayāra hōtō","Puṭikā phuṭalyāsa, ēka kaccā, ōlasara pr̥ṣṭhabhāga tayāra hōtō"
HL0015_EN_59,"Smaller gall-stones, can, however, be cleared through dietetic cure.","मात्र, पित्ताशयातील लहान खडे उपवासाच्या उपचाराने काढून टाकता येतात.","Lahāna pitta-sṭōna, tathāpi, āhārātīla upacārāndvārē sāpha kēlē jā'ū śakatāta","Lahāna pitta-sṭōna, tathāpi, āhārātīla upacārāndvārē sāpha kēlē jā'ū śakatāta"
HL0015_EN_60,"In cases of acute gall-bladder inflammation, the patient should fast for two or three days, until the acute condition is cleared.",पित्ताशयातील तीव्र दाहाच्या केसींमध्ये गंभीर अवस्था दूर होईपर्यंत रूग्णाने दोन किंवा तीन दिवस उपवास केला पाहिजे.,"Tīvra pitta-mūtrāśaya jaḷajaḷa jhālyāsa, rugṇānē tīvra sthitī sāpha hō'īparyanta dōna kinvā tīna divasa upavāsa kēlā pāhijē","Tīvra pitta-mūtrāśaya jaḷajaḷa jhālyāsa, rugṇānē tīvra sthitī sāpha hō'īparyanta dōna kinvā tīna divasa upavāsa kēlā pāhijē"
HL0015_EN_61,Nothing but water should be taken during the fast.,उपवासादरम्यान पाण्याशिवाय दुसरे काहीही घ्यायला नको.,Upavāsāta pāṇyāśivāya kāhīhī ghē'ū nayē,Upavāsāta pāṇyāśivāya kāhīhī ghē'ū nayē
HL0015_EN_62,"After the fast, the patient should take fruit and vegetable juices for a few days.",उपवासानंतर रूग्णाने काही दिवसांसाठी फळांचे व भाज्यांचे रस घेतले पाहिजेत.,"Upavāsānantara, rugṇānē kāhī divasa phaḷē āṇi bhājyān̄cē rasa ghyāvē","Upavāsānantara, rugṇānē kāhī divasa phaḷē āṇi bhājyān̄cē rasa ghyāvē"
HL0015_EN_63,"The juices of carrots, beets, grape-fruits, pears, lemons or grapes may be used.","गाजरे, बीट, पपनस, पेअर, लिंबे किंवा द्राक्षे ह्यांच्या रसांचा वापर करता येतो.","Gājara, bīṭa, drākṣa-phaḷē, nāśapātī, limbū kinvā drākṣē yān̄cā rasa vāparalā jā'ū śakatō","Gājara, bīṭa, drākṣa-phaḷē, nāśapātī, limbū kinvā drākṣē yān̄cā rasa vāparalā jā'ū śakatō"
